task_item_id,task_name,task_content,assigned_employee_count,is_manager_written,task_type_id,employee_id,department_code,evaluation_policy_id
1,SAP ERP 정기 패치 적용,분기별 SAP ERP 시스템 보안 패치 및 기능 업데이트 진행,1,1,1,8,DP006,1
2,랜섬웨어 대응 체계 구축,랜섬웨어 대응 솔루션 도입 및 백업 시스템 이중화,1,1,1,8,DP006,1
3,정보보안 관리체계 인증,ISMS-P 인증 획득을 위한 보안 체계 점검 및 개선,1,1,1,8,DP006,1
4,정보처리기사 자격증 취득,정보처리기사 자격증 취득을 위한 시험 준비 및 합격 달성,1,0,2,7,DP006,2
5,SQLD 자격증 취득,데이터베이스 기초 지식 습득 및 SQLD 자격증 시험 합격,1,0,2,7,DP006,2
6,오픽 AL 달성,OPIc 시험 준비 및 Advanced Low (AL) 등급 달성,1,0,2,7,DP006,2
7,사내 캡스톤 대회 수상,사내 캡스톤 프로젝트 대회 참가 및 입상 성과 달성,1,0,2,7,DP006,2
8,데이터 분석 프로젝트 수행,사내 데이터 분석 프로젝트 참여 및 성공적 수행,1,0,2,7,DP006,2
9,매출액 5000억원 달성,사업부 목표 매출액 5000억원 달성,1,0,3,6,DP002,3
10,고객 만족도 90% 이상 달성,고객 만족도 설문조사에서 90% 이상 달성,1,0,3,6,DP002,3
